id,lead_time,arrival_week,duration,prev_cancel,booking_changes,waiting_period,per_Day_price,parking,special_request,segment,deposit,cust_type,is_cancelled
200,245,13,5,0,0,0,78.26,0,2,Online TA,No Deposit     ,Transient,0
201,170,25,2,0,0,0,130.5,0,0,Online TA,No Deposit     ,Transient,0
202,304,45,3,0,0,0,89,0,0,Offline TA/TO,Non Refund     ,Transient,1
203,19,7,1,0,0,0,82.13,0,2,Online TA,No Deposit     ,Transient,0
204,214,27,4,0,0,0,89.1,0,1,Direct,No Deposit     ,Transient-Party,0
205,85,41,3,0,1,0,75,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
206,109,42,1,0,0,0,108,0,0,Online TA,No Deposit     ,Transient,1
207,29,3,3,0,0,0,65,0,0,Groups,No Deposit     ,Transient-Party,1
208,37,42,3,0,0,0,105,0,0,Offline TA/TO,No Deposit     ,Transient-Party,1
209,451,28,3,0,0,0,112.67,0,1,Groups,No Deposit     ,Transient-Party,0
210,2,33,3,0,0,0,98,0,2,Online TA,No Deposit     ,Contract,0
211,24,49,1,0,0,0,50,0,0,Corporate,No Deposit     ,Transient-Party,0
212,11,8,2,0,0,0,87,0,0,Offline TA/TO,No Deposit     ,Transient,0
213,3,6,2,0,0,0,88,0,0,Online TA,No Deposit     ,Transient,0
214,198,37,2,0,0,0,120,0,0,Groups,Non Refund     ,Transient,1
215,7,35,2,0,0,0,90,0,1,Online TA,No Deposit     ,Contract,0
216,4,2,2,0,0,0,70,0,0,Offline TA/TO,No Deposit     ,Transient,0
217,163,24,2,0,0,0,100,0,0,Offline TA/TO,Non Refund     ,Transient,1
218,110,21,7,0,1,0,85.75,0,0,Offline TA/TO,No Deposit     ,Transient,0
219,58,4,3,0,0,0,88.4,0,1,Online TA,No Deposit     ,Transient,0
220,92,41,1,0,0,0,135,0,2,Online TA,No Deposit     ,Transient,0
221,157,18,3,0,0,0,130,0,0,Groups,Non Refund     ,Transient,1
222,142,33,4,0,0,0,195,0,0,Online TA,No Deposit     ,Transient,1
223,342,39,4,1,0,0,170,0,0,Groups,Non Refund     ,Transient,1
224,122,50,3,0,1,0,68,0,0,Online TA,No Deposit     ,Transient-Party,0
225,82,13,3,0,0,0,74.8,0,0,Online TA,No Deposit     ,Transient,1
226,61,48,3,0,0,0,70,0,0,Groups,No Deposit     ,Transient-Party,0
227,40,27,3,0,0,0,117.9,0,1,Online TA,No Deposit     ,Transient,0
228,23,42,2,0,0,0,98.4,0,2,Online TA,No Deposit     ,Transient,0
229,0,22,0,0,1,0,119,0,0,Direct,No Deposit     ,Transient,0
230,3,17,1,0,0,0,116,0,1,Online TA,No Deposit     ,Transient,0
231,254,39,1,0,0,0,96,0,0,Groups,Non Refund     ,Transient,1
232,166,11,1,1,0,0,90,0,1,Online TA,No Deposit     ,Contract,1
233,77,21,0,0,0,0,144,0,0,Online TA,No Deposit     ,Transient,1
234,143,32,1,0,0,0,130.5,0,0,Online TA,No Deposit     ,Transient,1
235,39,33,2,0,0,0,101.5,0,0,Offline TA/TO,No Deposit     ,Transient-Party,1
236,140,23,1,0,0,0,105.3,0,1,Online TA,No Deposit     ,Transient,0
237,112,14,2,0,0,0,95,0,0,Offline TA/TO,Non Refund     ,Transient,1
238,346,38,2,0,0,0,115,0,1,Offline TA/TO,No Deposit     ,Transient-Party,0
239,253,19,4,0,0,55,90,0,0,Offline TA/TO,Non Refund     ,Transient,1
